LABEL=rate,SRC_LABEL=user,DST_LABEL=movie
251,Edmond,710,2
251,Edmond,2654,4
256,Luke,457,1
266,Vincent,532,2
293,Elisha,1693,5
295,General,1596,1
296,Julian,496,1
301,Judson,641,4
308,Forest,770,2
310,Pink,82,4
313,Ward,28,5
313,Ward,68,5
313,Ward,532,3
313,Ward,564,3
313,Ward,598,5
313,Ward,1596,1
313,Ward,2008,1
313,Ward,2055,1
313,Ward,2498,5
313,Ward,3252,1
313,Ward,3680,5
313,Ward,3753,1
313,Ward,3915,1
319,Wilbert,2232,5
321,Benjiman,2885,4
326,Archibald,781,3
328,Clint,770,5
332,Mary,3459,2
333,Merton,82,1
339,Milo,82,3
343,Elza,68,2
350,Seth,598,1
355,Washington,564,4
368,Lafayette,496,5
373,Abram,750,2
375,Elliott,750,5
383,Dallas,3753,5
388,Lawson,457,2
394,Erastus,598,2
399,Stewart,641,2
406,Clay,1356,2
415,Jonathan,532,1
421,Rolla,750,5
422,Sandy,1366,1
428,Carlos,737,2
433,Harve,3915,2
434,Israel,1096,2
450,Geo,3106,5
457,Orlando,598,4
463,Stuart,82,1
464,Wilburn,615,5
466,Casper,517,2
466,Casper,1412,5
467,Christ,781,1
478,Squire,82,2
481,Wyatt,457,5
485,Andres,1935,2
491,Howell,496,1
500,Reginald,130,3
505,Benjamine,2398,5
507,Carlton,698,2
519,Rex,2422,4
526,Al,641,4
530,Art,615,5
534,Beverly,68,4
534,Beverly,3390,5
536,Clair,130,2
541,Dwight,68,4
541,Dwight,1935,3
544,Henderson,641,5
552,Mortimer,1293,4
565,Truman,598,4
570,Wylie,805,1
571,Alec,3915,4
578,Colonel,1241,5
579,Dempsey,770,3
579,Dempsey,1097,1
580,Early,750,4
582,Fate,781,2
584,Gabe,3680,1
585,Garland,496,2
587,Herschel,781,5
588,Hezekiah,3252,3
592,Olaf,3680,2
594,Pablo,681,5
596,Turner,681,5
597,Verne,710,5
608,Darius,1596,3
614,Eric,781,3
614,Eric,2008,1
619,Hosea,3252,3
621,Lonzo,1550,1
647,Eben,770,1
652,Finis,3624,5
657,Hermann,532,3
658,Isadore,2767,5
661,June,3753,3
662,Lacy,2654,5
663,Lafe,517,2
664,Leland,517,3
670,Obie,698,1
676,Parley,3624,2
698,Dolphus,1412,2
698,Dolphus,2008,2
701,Fayette,750,2
702,Felipe,710,2
705,Florence,710,1
710,Hoy,2422,1
723,Odie,681,2
724,Olen,737,1
733,Richmond,710,5
738,Shelby,641,5
738,Shelby,1118,5
743,Woodson,3915,1
747,Alf,564,5
748,Algie,517,1
751,Bedford,130,4
761,Clovis,517,4
765,Duke,3459,1
766,Eber,564,3
767,Eligah,471,3
770,Emmitt,737,5
775,Harman,1241,5
779,Jennie,532,5
780,Len,496,3
782,Lonie,471,1
787,Miller,2885,5
788,Orson,2498,5
803,Vance,68,2
812,Allison,1356,4
826,Ballard,532,3
831,Clarke,770,5
850,Elsie,471,3
854,Ferd,1118,2
863,Hattie,517,1
875,Kirk,641,5
882,Noble,1856,3
883,Obed,750,1
890,Rube,471,2
894,Sammie,457,3
897,Stacy,517,2
900,Thad,710,4
901,Titus,710,4
902,Tracy,2232,3
907,Yee,457,2
912,Albertus,698,1
916,Artie,3390,3
917,Arvid,750,4
932,Brooks,781,5
933,Buck,564,1
941,Cyril,681,4
962,Gardner,598,5
965,Gottlieb,130,3
975,Hermon,615,4
981,Huey,2055,5
990,Jodie,82,1
